author,comment,"Labeling (1=Pro 2=Kontra, 3=Netral)",likeCount,replyCount,publishedAt,cleaning
@fitrahagungsabdapamungkas1410,"Haloo min saya dari masa depan ditahun 2024, dan ternyata IKN ini progressnya luar biasa memprihatinkan😢",2,1,0,2024-09-27T12:49:13Z,Haloo min saya dari masa depan ditahun  dan ternyata IKN ini progressnya luar biasa memprihatinkan
@RyanMas-ju7hw,Banyak di indonesia org bersdm rendah dan selalu dirusak oleh para rezim itu sendiri yang mencari keuntungan pribadi bukan untuk kepentingan negara dan membuat pihak yang benar seakan akan bersalah 😢,3,0,0,2024-09-26T18:30:38Z,Banyak di indonesia orang  bersumber daya manusia rendah dan selalu dirusak oleh para rezim itu sendiri yang mencari keuntungan pribadi bukan untuk kepentingan negara dan membuat pihak yang benar seakan akan bersalah
@sukriali785,Buang2 anggaran...egoisme rezimm,2,0,0,2024-09-24T23:39:07Z,Buang anggaran egoisme rezim
@karbuanachristini8399,buat nyari proyek,3,0,0,2024-09-24T09:47:05Z,buat nyari proyek
@farraskaysansiregar2735,IKN hanya proyek gengsi pemerintah tanpa urgensi ekonomis,2,1,0,2024-09-21T00:00:52Z,IKN hanya proyek gengsi pemerintah tanpak urgensi ekonomis
@indahpangestuti4635,PULAU JAWA SUDAH MAU TEMGGELAM<br>MAKANYA HRS PINDAH<br>PAHAM.... <br>😅😅😅😅😅,3,0,1,2024-09-17T10:33:55Z,PULAU jaWA sudah MAU TEMGGELAM MAKANYA harus PINDAH paHAM
@WahyuIndah-z3q,Mana investor luar gk ada yg masuk biayanya sdh 70 triliun sampai bulan lalu <br>.Jadi serem jangan sampai mangkrak ...tiap waktu bayar bunga utang ...proyek ini pasti nambah utang ...sanggup gk utang lagi ...Deg2an terus terang ...,3,1,1,2024-09-11T15:58:27Z,Mana investor luar tidak ada yang masuk biayanya sudah  triliun sampai bulan lalu jadi serem jangan sampai mangkrak tiap waktu bayar bunga utang proyek ini pasti nambah utang sanggup tidak utang lagi terus terang
@kurnanovamustafa3630,Nah hutan rimbanya mana....???,3,0,1,2024-09-03T20:44:09Z,Nah hutan rimbanya mana
@novirizalchaniago4628,Pindah agar tidak bisa di demo lagi sama rakyat Jawa khususnya Jabodetabek yg oposisi sering mengkritik pemerintah 😁,2,0,1,2024-09-03T12:49:54Z,Pindah agar tidak bisa di demo lagi sama rakyat jawa khususnya jabodetabek yang oposisi sering mengkritik pemerintah
@OVAL277,Ini hasilnya di tahun 2024.,3,0,1,2024-08-30T17:42:39Z,Ini hasilnya di tahun
@akbarzakaria1169,saya izin memakai potongan video untuk tugas,3,0,3,2024-08-27T13:34:50Z,saya izin memakai potongan video untuk tugas
@tjeppymulyadi,"Mungkin dpt ditambahkan bahwa selama berpuluh tahn pembangunan sebagian besar terpusat di jakarta dan Jawa saja shg terjadi ketimpangan antara Jakarta dg kota2 lain di Jawa dan antara Jawa dg luar Jawa. Akibatnya terjadi urbanisasi besar2an dari daerah luar Jakarta ke Jakarta dan dari luar Jawa ke Jawa dan itu terjadi setiap tahun, shg PDB Ekonomi 56% ada di Jawa, sedangkan 56% dari jumlah total penduduk Indonesia ada di Jawa. Sampai kapan kondisi ini akan diterus2kan ? Smp Jakarta tenggelam dan hancur ? Oleh karena pemindahan IKN dari Jakarta ke Kaltim adalah langkah yg tepat sekaligus untk pemerataan pembangunan di luar Jawa, khususnya di Indonesia bagian tengah dan timur.",1,0,0,2024-08-26T02:19:21Z,mungkin dapat ditambahkan bahwa selama berpuluh tahun pembangunan sebagian besar terpusat di jakarta dan jawa saja  sehingga tidak terjadi ketimpangan antara jakarta dengan kota lain di jawa dan antara jawa dengan luar jawa Akibatnya terjadi urbanisasi besaran dari daerah luar jakarta ke jakarta dan dari luar jawa ke jawa dan itu terjadi setiap tahun sehingga pdb Ekonomi  ada di jawa sedangkan  dari jumlah total penduduk Indonesia ada di jawa Sampai kapan kondisi ini akan diteruskan  sampai jakarta tenggelam dan hancur  Oleh karena pemindahan IKN dari jakarta ke Kaltim adalah tidakan yang tepat sekaligus untuk  pemerataan pembangunan di luar jawa khususnya di Indonesia bagian tengah dan timur
@widiatmopetrus3444,"Ngomongin uang gk ngomongin hutang APBN ,,,, 😂😂😂",3,0,0,2024-08-23T14:19:24Z,Ngomongin uang tidak ngomongin hutang apBN
@RirinekaWu,Kapan kalimantan jadi Singapore?,3,0,0,2024-08-23T06:18:35Z,Kapan kalimantan jadi Singapore
@peter_parker05,"Selama ini pembangunan belum merata. Pemerintah masih fokus ke ibukota dan pulau Jawa. Padahal pendapatan setiap daerah ditagih dan dikeruk. <br>Lihat saja Papua, penuh dengan tambang emas. Hasilnya diambil, uangnya hanya buat pembangunan di Jawa. Miris memang pemerintahan Indonesia. <br>Pantas Papua ingin merdeka",3,0,0,2024-08-22T00:08:03Z,Selama ini pembangunan belum merata Pemerintah masih fokus ke ibukota dan pulau jawa padahal pendapatan setiap daerah ditagih dan dikeruk Lihat saja  papua penuh dengan tambang emas Hasilnya diambil uangnya hanya buat pembangunan di jawa Miris memang pemerintahan Indonesia pantas papua ingin merdeka
@HerbiFora,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=436"">7:16</a> 2023 lalu Aku ragu krn takut anggarannya di korupsi tapi akhirnya upacara kemerdekaan 17 agustus 2024 sudah dilaksanakan di IKN👍",1,1,0,2024-08-21T12:09:41Z,Aku ragu karena takut anggarannya di korupsi tapi akhirnya upacara kemerdekaan  agustus  sudah dilaksanakan di IKN
@adytiahnug230,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=75"">1:15</a> lah Bandung suroboyo kebalik",3,0,0,2024-08-20T15:17:57Z,lah Bandung suroboyo kebalik
@Azxxmtvlg,Its okey tpi hewan langka banyak punah,3,0,0,2024-08-20T11:31:20Z,Its okey tapi hewan langka banyak punah
@AldanAldan-ou2cf,YUDIAN WAHYUDI<br><br>Kepala Badan Pembinaan Ideologi Pancasila (BPIP)<br><br>-2018:<br><br>MENERBITKAN SURAT KEPUTUSAN YANG MELARANG PEMAKAIAN CADAR BAGI MAHASISWI DI UIN SUNAN KALIJAGA 2020<br><br>MENGELUARKAN STATEMENT KONTROVERSIAL &quot;AGAMA MUSUH TERBESAR PANCASILA&quot;<br><br>2024 SALAH SATU DALANG KEBIJAKAN PASKIBRAKA PUTRI YANG MENANGGALKAN JILBAB,3,0,0,2024-08-19T05:22:28Z,YUDIAN WAHYUDI Kepakla Badan Pembinaan Ideologi pancasila BPIP MENERBITKAN SURAT KEPUTUSAN YANG MELARANG PEMAKAIAN CADAR BAGI MAHASISWI DI UIN SUNAN KALIjaGA MENGELUARKAN STATEMENT KONTROVERSIAL AGAMA MUSUH TERBESAR paNCASILA SALAH SATU DALANG KEBIjaKAN paSKIBRAKA PUTRI YANG MENAnggalKAN JILBAB
@hendrarpramudyo7306,Hilirisasi harus diteruskan meningkatkan pendapatan negara,3,1,0,2024-08-19T04:16:26Z,Hilirisasi harus diteruskan meningkatkan pendapatan negara
@hendrarpramudyo7306,Memindahkan locomotive economi nasional dari pulau Jawa yg sempit ke pulau Kalimantan yg lebih luas,1,1,0,2024-08-19T04:15:27Z,Memindahkan locomotive economi nasional dari pulau jawa yang sempit ke pulau Kalimantan yang lebih luas
@MuhammadNaufal-n1i,baru nonton di tgl 18 agustus 2024,3,1,0,2024-08-18T06:02:37Z,baru nonton di tanggal agustus
@elfiamartan5940,Omongan jomowi ga bisa dipercaya. IKN tidak direncanakan dg baik...,2,0,0,2024-08-17T10:13:43Z,Omongan jokowi ga bisa dipercaya IKN tidak direncanakan dengan baik
@nunuconge1518,Klo ada temen temen ASN yang resign karena menolak untuk pindah ke IKN.<br>kabarin saya.<br>Biar saya yang daftar.<br>Terima kasih,1,0,0,2024-08-17T06:44:51Z,kalau  ada temen temen ASN yang resign karena menolak untuk pindah ke IKN kabarin saya Biar saya yang daftar Terima kasih
@aminridwan-rx2og,haqulyakin..bakal terwujud,1,0,0,2024-08-16T14:11:51Z,haqulyakin bakal terwujud 
@andrethomastv,🔥🔥🔥,3,0,0,2024-08-16T12:35:21Z,
@mohamadzaki5373,Semoga terialisasi dan terus maju Indonesia. Perancangan yang bijak. Pasti banyak dugaan dan rintangan harus dihadapi dengan bijak walau pahit di telan... <br>Salam dari Malaysia,1,0,0,2024-08-16T07:43:54Z,Semoga terealisasi dan terus maju Indonesia Perancangan yang bijak pasti banyak dugaan dan rintangan harus dihadapai dengan bijak walau pahit di telan Salam dari Malaysia
@muhammadfaza2667,"mantap ikn, lanjutkan.<br>yg ga setuju dg ikn, mari berdiskusi gimana cara menanggulangi kota jakarta yg sudah overload",1,1,0,2024-08-15T04:18:41Z,mantapa ikn lanjutkan yang tidak setuju dengan ikn mari berdiskusi gimana cara menanggulangi kota jakarta yang sudah overload
@Hestitrisakti,Saya lebih memilih kesrjahteraan rakyat. Ini hanya masalah simbol.,,0,0,2024-08-12T16:18:18Z,Saya lebih memilih kesejahteraan rakyat Ini hanya masalah simbol
@adehaikalofficial,Minn.. aku dari msa depan.mulai hari ini.sementara pembangun ikn sudah mulai rampung dan selesai..🎉,1,0,0,2024-08-12T06:50:39Z,saya dari masa depan mulai hari ini sementara pembangun ikn sudah mulai rampung dan selesai
@MakanChimol,Perpindahan ibu kota ind bukan hanya itu tapi sebagai spektrum Perekonomian Asia Tengara dan sebagai wil pertahanan dari pengaruh luar.untuk ASEAN.dan bagi bangsa serumpun untuk mengisi pertahanan dan Ekonomi politik yg lebih baik dan kuat demi kebutuhan kekuatan ASEAN untuk memenuhi kebutuan kontribusi pd Dumia yg Aman Damai Dam adil makmur!.?👍🏿.,1,0,0,2024-08-11T17:31:27Z,Perpindahan ibu kota indonesia bukan hanya itu tapi sebagai spektrum Perekonomian Asia Tengara dan sebagai wilayah pertahanan dari pengaruh luar untuk ASEAN dan bagi bangsa serumpun untuk mengisi pertahanan dan Ekonomi politik yang lebih baik dan kuat demi kebutuhan kekuatan ASEAN untuk memenuhi kebutuan kontribusi pada Dunia yang Aman Damai Dan adil makmur
@andiwidodosaputro175,"Ini seperti menyelam sambil minum air <br>Modus pemerintah tuk membangun dan mengembangkan transmigrasi, bedol desa ala modern semoga lancar dan sukses lah tuk pak Jok",2,0,0,2024-08-11T05:52:49Z,Ini seperti menyelam sambil minum air Modus pemerintah untuk membangun dan mengembangkan tidakan transmigrasi bedol desa ala modern semoga lancar dan sukses lah tuk pak Jokowi
@misbahulalim1313,KENAPA INDONESIA MEMINDAHKAN IBUKOTA ? 😊<br><br><b>SUPAYA SINGAPORE &amp; AUSTRALIA BISA MEMPERLUAS NEGARANYA</b>,2,1,0,2024-08-10T20:27:33Z,KENapa INDONESIA MEMINDAHKAN IBUKOTA  SUpaYA SINGapORE AUSTRALIA BISA MEMPERLUAS NEGARANYA
@muhammadrivskyvijaya,SEBENARNYA SAMA AJA SIH MENURUT SAYA SAYANG KAYU SURGA DI  JADIKAN IBUKOTA NUSANTARA KAYU DARI SURGA YA KALIMANTAN  YANG TERKENAL,3,0,0,2024-08-10T16:25:44Z,SEBENARNYA SAMA saja  SIH MENURUT SAYA SAYANG KAYU SURGA DI  jadiKAN IBUKOTA NUSANTARA KAYU DARI SURGA YA KALIMANTAN  YANG TERKENAL
@FransAnthony-jn6xf,Bukan bom waktu lagi tapi sudah tenggelam perlahan lahan kendatipun mau tanggulnya ditinggikan tetap tenggelam karena apa tanggul itu juga tenggelam apa lagi akan tidak kuat menahan kubik kubik air dan hantaman gelombang ini akan berdampak sangat sangat berbahaya bagi ibu kota negara.sebelum air laut itu merembak menerobos kota sekarang jauh jauh hari harus segera dibuat dan disiapkan.siapkan payung sebelum hujan .kita tidak siapkan sedangkan setiap saat bahaya itu mengejar kita .padahal dibelakang kita tidak tahu tapi bahaya ada mengejar Kita.,1,0,0,2024-08-09T00:52:18Z,Bukan bom waktu lagi tapi sudah tenggelam perlahan lahan kendatipun mau tanggulnya ditinggikan tetap tenggelam karena apa tanggul itu juga tenggelam apalagi akan tidak kuat menahan kubik kubik air dan hantaman gelombang ini akan berdampak sangat sangat berbahaya bagi ibu kota negara sebelum air laut itu merembak menerobos kota sekarang jauh jauh hari harus segera dibuat dan disiapkan siapkan payung sebelum hujan kita tidak siapkan sedangkan setiap saat bahaya itu mengeajar kita padahal dibelakang kita tidak tahu tapi bahaya ada mengejar Kita
@Lalapo19,Sebenarnya bukan jawa sentris tp jakarta tepatnya. Pindah krn ada ramalan jayabaya,3,0,0,2024-08-03T21:36:40Z,Sebenarnya bukan jawa sentris tapi jakarta tepatnya Pindah karena ada ramalan ajayabaya
@achmadnasrudin4009,buat kota yg lebih rapi dan bagus,3,0,0,2024-08-01T07:16:09Z,buat kota yang lebih rapi dan bagus
@sapidarman5284,"Semua sejarah ada di jakarta ,, penajem ga ada histori sama sekali",3,0,0,2024-07-28T05:37:42Z,Semua sejarah ada di jakarta  penajem ga ada histori sama sekali
@egohkhhs5896,"Ikn terus maju,Indonesia semakin maju",1,0,0,2024-07-26T11:52:34Z,Ikn terus maju Indonesia semakin maju
@ArisSaptono-qu9uc,"Jakarta adalah ibukota banjir, Indonesia merdeka 79 tahun &amp; sampai hari ini penyakit kambuhan belum terobati, oh iya mbak yg di konten video ini bisa nggak ngobatin, kasihan warga jakarta kalau penyakitnya kambuh coba September nanti. Tolong dong obatnya biar cepat sembuh kalau musim hujan tiba.",1,0,0,2024-07-20T04:47:56Z,jakarta adalah ibukota banjir Indonesia merdeka  tahun sampai hari ini penyakit kambuhan belum terobati oh iya mbak yang di konten video ini bisa tidak ngobatin kasihan warga jakarta kalau penyakitnya kambuh coba September nanti Tolong dong obatnya biar cepat sembuh kalau musim hujan tiba
@Asyimaa,Info loker di Kalimantan,3,0,0,2024-07-19T08:02:34Z,Info loker di Kalimantan
@HERP.,Kak luna mau nanya kalau untuk masyarakat biasa udah boleh tinggal di ikn di tahap pembangunan periode apa?,3,1,0,2024-07-12T16:11:01Z,Kak luna mau nanya kalau untuk masayarakat biasa sudah boleh tinggal di ikn di tahap pembangunan periode apa
@AdeAlhaj,Saya dari sukabumi jabar selalu mendoa kan semoga ikn sukses,1,0,0,2024-07-06T01:10:52Z,Saya dari sukabumi jabar selalu mendoakan semoga ikn sukses
@jejeeffendi4880,"Ambisi Jokowi akan hancur luluh berantakan ,yg paling mengerikan itu Jokowi akan hancur nyungsep untuk selamanya ,contoh tokoh tokoh dunia yang dolim dolim semua nya dihancurkan oleh Allah SWT,sebab Allah SWT sangat membenci kepada orang orang yg dolim ,termasuk Jokowi juga akan di azab oleh Allah SWT,tinggal tunggu waktu aja",2,0,0,2024-07-04T21:36:56Z,Ambisi Jokowi akan hancur luluh berantakan yang paling mengerikan itu Jokowi akan hancur nyungsep untuk selamanya contoh tokoh tokoh dunia yang dolim dolim semua nya dihancurkan oleh Allah SWT sebab Allah SWT sangat membenci kepada orang orang yang dolim termasuk Jokowi juga akan di azab oleh Allah SWT tinggal tunggu waktu saja 
@sudirmandirman3886,"Penting dan harus, karena itu afalah cita-cita luhur sang proklamator.<br>Hanya Jokowi yang berani dan mampu, seterus nya harus tetap melanjutkan !!!.<br>👍👍👍",1,0,0,2024-07-04T03:26:55Z,Penting dan harus karena itu adalah cita cita luhur sang proklamator Hanya Jokowi yang berani dan mampu seterusnya harus tetap melanjutkan
@Rais234R,Gak mikirin apa ya di Kalimantan ada satwa langka dan hutan tropis kalau dipindahkan mungkin dia bakal kayak jakarta udah gak ada hutan dan sawah nya dan mungkin nanti kalimantan bakal tenggelam juga lah kan tanah nya juga makin datar,2,0,0,2024-06-30T00:22:12Z,tidak mikirin apa ya di Kalimantan ada satwa langka dan hutan tropis kalau dipindahkan mungkin dia bakal seperti jakarta sudah tidak ada hutan dan sawah nya dan mungkin nanti kalimantan bakal tenggelam juga lah kan tanah nya juga makin datar
@Indoball113,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=438"">7:18</a> saya dari masa depan tapi belum jadi ikn 1 bulan lagi saya pernah ke ikn lihat simpang susun tolnya saya orang balikpapan saya senang ada ikn karna kalau mau ke ibu kota gampang dan ayah saya kerja di ikn maksudnya bukan bangunan tapi kerja di samboja kerja bibit udang",1,0,0,2024-06-28T02:29:27Z,saya dari masa depan tapi belum jadi ikn  bulan lagi saya pernah ke ikn lihat simpang susun tolnya saya orang balikpapan saya senang ada ikn karna kalau mau ke ibu kota gampang dan ayah saya keraja di ikn maksudnya bukan bangunan tapi kerja di samboja keraja bibit udang
@PeniAhmatAL-Insanni,Supaya orang jowo mudah usir pribumi Kalimantan.,3,0,0,2024-06-25T08:06:56Z,Supaya orang jowo mudah usir pribumi Kalimantan
@PeniAhmatAL-Insanni,Biar orang jowo enak kuasai Kalimantan.<br>Biar kami orang pribumi kalimantan jadi gembel susah punya tanah kebun dll.,2,0,0,2024-06-25T08:03:02Z,Biar orang jowo enak kuasai Kalimantan Biar kami orang pribumi kalimantan jadi gembel susah punya tanah kebun
@newbiegretonger8936,Kalian dari kota mana nih,3,0,2,2024-06-25T06:28:51Z,Kalian dari kota mana nih
@HarrySubagio-qu7vn,Yang penting koruptor dimiskinkan dan di hukum mati titik,3,0,0,2024-06-22T00:16:32Z,Yang penting koruptor dimiskinkan dan di hukum mati titik
@osiae9642,"Melanggar hukum tdk yaa, jika kami sholat hajat dgn meminta IKN mangkrak..???",2,0,0,2024-06-21T23:31:38Z,Melanggar hukum tidak ya jika kami sholat hajat dengan meminta IKN mangkrak
@pakodiri,"Namanya aja lucu dan gak pas, namain aja nama tempat kab atau prop, dan ini lahan baru u tuk para oknum elit nkri ngrampok uang negara.",2,0,0,2024-06-19T03:42:47Z,Namanya saja lucu dan tidak pas namain saja nama tempat kabupaten atau provinsi dan ini lahan baru untuk para oknum elit NKRI merampok uang negara
@MuhammadIbrahim-ps9mu,"Pembangunan Ibukota Nusantara di Kalimantan akan dibangun jauh berbeda dari DKI Jakarta di Jawa. Mungkin kalau IbuKota Nusantara menjadi ibukota baru Indonesia untuk pusat pemerintahan negara, sedangkan Jakarta menjadi kota terbesar baru Indonesia untuk industri ekonomi dan permukiman masyarakat.<br><br>Sama seperti Washington DC dan New York City di Amerika Serikat, IKN sebagai Washington DC nya Indonesia dan Jakarta sebagai New York City nya Indonesia. Ditambah lagi, markas besar TNI dan POLRI akan dipindahkan ke IKN, sama seperti Pentagon di Washington DC.",1,1,1,2024-06-06T03:56:49Z,Pembangunan Ibukota Nusantara di Kalimantan akan dibangun jauh berbeda dari DKI Jakarta di Jawa Mungkin kalau Ibukota Nusantara menjadi ibukota baru Indonesia untuk pusat pemerintahan negara sedangkan Jakarta menjadi kota terbesar baru Indonesia untuk industri ekonomi dan permukiman masyarakat sama seperti Washington DC dan New York City di Amerika Serikat IKN sebagai Washington DC nya Indonesia dan Jakarta sebagai New York City nya Indonesia Ditambah lagi markas besar TNI dan POLRI akan dipindahkan ke IKN sama seperti Pentagon di Washington DC
@apongeh4620,Bangsa besar harus berani punya mimpi besar kedepan,1,0,0,2024-06-02T02:29:51Z,Bangsa yang besar harus berani punya mimpi besar ke depan
@Joannie-sp1uq,Dari komentar byk yg tidak rela.😂😂😂 Ini cuma masalah waktu saja..IKN itu sentral,1,0,0,2024-05-30T05:49:47Z,Dari komentar banyak yang tidak rela Ini cuma masalah waktu saja IKN itu sentral
@rizaldoang9898,"Kalo sampai IKN jadi, saya bakalan bangga menjadi bangsa Indonesia 😊",1,0,0,2024-05-30T03:29:36Z,Kalo sampai IKN jadi saya bakalan bangga menjadi bangsa Indonesia
@Itsmefherdy,"Cuma di era kepresidenan pak jokowi yg berani bikin gebrakan besar, ibukota di pindahkan dan stop eksport nikel mentah, presiden sebelumnya ga pernah ada yg berani bikin gebrakan untuk membuat indonesia maju!",1,0,0,2024-05-30T02:26:12Z,Cuma di era kepresidenan pak Jokowi yang berani bikin gebrakan besar ibukota di pindahkan dan stop ekspor nikel mentah presiden sebelumnya tidak pernah ada yang berani bikin gebrakan untuk membuat indonesia maju
@hendriyanto-kj2qs,Mengurangi pengangguran.........,1,0,0,2024-05-29T12:29:06Z,Mengurangi pengangguran
@GinLoweth,buat apa? ya buat dikorupsi dana pemindahan ibukotanya 🤡,2,0,0,2024-05-29T03:39:01Z,buat apa ya buat dikorupsi dana pemindahan ibukotanya
@Gerry-vk6mk,"Hadir 👋<br>Jumat, 24 mei 2024",3,0,0,2024-05-24T12:52:48Z,Hadir Jumat mei
@varlintop2789,Nusantara tentram karta Raharja,3,0,0,2024-05-23T04:56:17Z,Nusantara tenteram karta Raharja
@varlintop2789,Nusantara tentram karta Raharja,3,0,0,2024-05-23T04:55:54Z,Nusantara tenteram karta Raharja
@yatiyati1154,Klo mnurutku siih..klimntan mmng hrs di bngun sbb sistem yg di pkai oleh pk Jokowi adlh sistem pmbngunan yg berkeadilan..ibukota sih ttep Jakarta..hnya sja gubernur anis bawedan kn udh mau pensiun. Atau di pulngkn ke Singapore..tmpat plarian nya..yg dri semarang dulu Jdi kita akn mndptkn gubernur bru yg gx pke rasa2 gula atau yg tgn nya yg g ada kait besi nya sperti .mr hook dlm the pirates of carribean..dan falsafah kita ttp pncasila yg berdasarkn sila pertma yaitu ketuhanan yg mha esa.,1,0,0,2024-05-20T07:29:31Z,Kalo menurutku sih kalimantan memang harus di bangun sebab sistem yang di pakai oleh pak Jokowi adalah sistem pembangunan yang berkeadilan ibukota sih tetep Jakartanya hanya saja gubernur anis baswedan kan udah mau pensiun Atau di pulangkan ke Singapore tempat pelarian nya yang dari semarang dulu Jadi kita akan mendapatkan gubernur baru yang gak pake rasa gula atau yang tangan nya yang gak ada kait besi nya seperti mr hook dalam the pirates of carribean dan falsafah kita tetap pancasila yang berdasarkan sila pertama yaitu ketuhanan yang maha esa
@EpikBangets,Indonesia sudah ada 271.T dana rampasan dari suami sandra dewi. Tinggal separo lagi kan bisa buat dana pembangunan IKN,3,2,0,2024-05-19T14:43:16Z,Indonesia sudah ada T dana rampasan dari suami sandra dewi Tinggal separo lagi kan bisa buat dana pembangunan IKN
@notbranding7866,"halo disini 2024, sejak maret lalu Jakarta udh bukan DKI lagi loh",3,0,0,2024-05-19T05:44:32Z,halo disini sejak maret lalu Jakarta sudah bukan DKI lagi loh
@AnjarSetiawan-v5b,Kalo ada kebakaran gimana😢,3,0,0,2024-05-19T03:04:35Z,Kalo ada kebakaran gimana
@AnjarSetiawan-v5b,saya orang karawang yng agak deket sama jakarta gak bisa ke jakarta lagi😢😢😢,2,0,0,2024-05-19T03:02:48Z,saya orang karawang yang agak deket sama jakarta gak bisa ke jakarta lagi
@mokhtararifin1694,"dipindah jauhin banjir, demo.macet,polusi.",1,0,0,2024-05-16T05:37:44Z,dipindah jauhin banjir demo macet polusi
