author,comment,publishedAt,likeCount,replyCount
@hendrarpramudyo7306,Memindahkan locomotive economi nasional dari pulau Jawa yg sempit ke pulau Kalimantan yg lebih luas,2024-08-19T04:15:27Z,1,0
@MuhammadNaufal-n1i,baru nonton di tgl 18 agustus 2024,2024-08-18T06:02:37Z,1,0
@elfiamartan5940,Omongan jomowi ga bisa dipercaya. IKN tidak direncanakan dg baik...,2024-08-17T10:13:43Z,0,0
@nunuconge1518,Klo ada temen temen ASN yang resign karena menolak untuk pindah ke IKN.<br>kabarin saya.<br>Biar saya yang daftar.<br>Terima kasih,2024-08-17T06:44:51Z,0,0
@aminridwan-rx2og,haqulyakin..bakal terwujud,2024-08-16T14:11:51Z,0,0
@andrethomastv,🔥🔥🔥,2024-08-16T12:35:21Z,0,0
@mohamadzaki5373,Semoga terialisasi dan terus maju Indonesia. Perancangan yang bijak. Pasti banyak dugaan dan rintangan harus dihadapi dengan bijak walau pahit di telan... <br>Salam dari Malaysia,2024-08-16T07:43:54Z,0,0
@muhammadfaza2667,"mantap ikn, lanjutkan.<br>yg ga setuju dg ikn, mari berdiskusi gimana cara menanggulangi kota jakarta yg sudah overload",2024-08-15T04:18:41Z,1,0
@Hestitrisakti,Saya lebih memilih kesrjahteraan rakyat. Ini hanya masalah simbol.,2024-08-12T16:18:18Z,0,0
@adehaikalofficial,Minn.. aku dari msa depan.mulai hari ini.sementara pembangun ikn sudah mulai rampung dan selesai..🎉,2024-08-12T06:50:39Z,0,0
@MakanChimol,Perpindahan ibu kota ind bukan hanya itu tapi sebagai spektrum Perekonomian Asia Tengara dan sebagai wil pertahanan dari pengaruh luar.untuk ASEAN.dan bagi bangsa serumpun untuk mengisi pertahanan dan Ekonomi politik yg lebih baik dan kuat demi kebutuhan kekuatan ASEAN untuk memenuhi kebutuan kontribusi pd Dumia yg Aman Damai Dam adil makmur!.?👍🏿.,2024-08-11T17:31:27Z,0,0
@andiwidodosaputro175,"Ini seperti menyelam sambil minum air <br>Modus pemerintah tuk membangun dan mengembangkan transmigrasi, bedol desa ala modern semoga lancar dan sukses lah tuk pak Jok",2024-08-11T05:52:49Z,0,0
@misbahulalim1313,KENAPA INDONESIA MEMINDAHKAN IBUKOTA ? 😊<br><br><b>SUPAYA SINGAPORE &amp; AUSTRALIA BISA MEMPERLUAS NEGARANYA</b>,2024-08-10T20:27:33Z,1,0
@muhammadrivskyvijaya,SEBENARNYA SAMA AJA SIH MENURUT SAYA SAYANG KAYU SURGA DI  JADIKAN IBUKOTA NUSANTARA KAYU DARI SURGA YA KALIMANTAN  YANG TERKENAL,2024-08-10T16:25:44Z,0,0
@FransAnthony-jn6xf,Bukan bom waktu lagi tapi sudah tenggelam perlahan lahan kendatipun mau tanggulnya ditinggikan tetap tenggelam karena apa tanggul itu juga tenggelam apa lagi akan tidak kuat menahan kubik kubik air dan hantaman gelombang ini akan berdampak sangat sangat berbahaya bagi ibu kota negara.sebelum air laut itu merembak menerobos kota sekarang jauh jauh hari harus segera dibuat dan disiapkan.siapkan payung sebelum hujan .kita tidak siapkan sedangkan setiap saat bahaya itu mengejar kita .padahal dibelakang kita tidak tahu tapi bahaya ada mengejar Kita.,2024-08-09T00:52:18Z,0,0
@Lalapo19,Sebenarnya bukan jawa sentris tp jakarta tepatnya. Pindah krn ada ramalan jayabaya,2024-08-03T21:36:40Z,0,0
@achmadnasrudin4009,buat kota yg lebih rapi dan bagus,2024-08-01T07:16:09Z,0,0
@sapidarman5284,"Semua sejarah ada di jakarta ,, penajem ga ada histori sama sekali",2024-07-28T05:37:42Z,0,0
@egohkhhs5896,"Ikn terus maju,Indonesia semakin maju",2024-07-26T11:52:34Z,0,0
@ArisSaptono-qu9uc,"Jakarta adalah ibukota banjir, Indonesia merdeka 79 tahun &amp; sampai hari ini penyakit kambuhan belum terobati, oh iya mbak yg di konten video ini bisa nggak ngobatin, kasihan warga jakarta kalau penyakitnya kambuh coba September nanti. Tolong dong obatnya biar cepat sembuh kalau musim hujan tiba.",2024-07-20T04:47:56Z,0,0
@Asyimaa,Info loker di Kalimantan,2024-07-19T08:02:34Z,0,0
@HERP.,Kak luna mau nanya kalau untuk masyarakat biasa udah boleh tinggal di ikn di tahap pembangunan periode apa?,2024-07-12T16:11:01Z,1,0
@AdeAlhaj,Saya dari sukabumi jabar selalu mendoa kan semoga ikn sukses,2024-07-06T01:10:52Z,0,0
@jejeeffendi4880,"Ambisi Jokowi akan hancur luluh berantakan ,yg paling mengerikan itu Jokowi akan hancur nyungsep untuk selamanya ,contoh tokoh tokoh dunia yang dolim dolim semua nya dihancurkan oleh Allah SWT,sebab Allah SWT sangat membenci kepada orang orang yg dolim ,termasuk Jokowi juga akan di azab oleh Allah SWT,tinggal tunggu waktu aja",2024-07-04T21:36:56Z,0,0
@sudirmandirman3886,"Penting dan harus, karena itu afalah cita-cita luhur sang proklamator.<br>Hanya Jokowi yang berani dan mampu, seterus nya harus tetap melanjutkan !!!.<br>👍👍👍",2024-07-04T03:26:55Z,0,0
@Rais234R,Gak mikirin apa ya di Kalimantan ada satwa langka dan hutan tropis kalau dipindahkan mungkin dia bakal kayak jakarta udah gak ada hutan dan sawah nya dan mungkin nanti kalimantan bakal tenggelam juga lah kan tanah nya juga makin datar,2024-06-30T00:22:12Z,0,0
@Indoball113,"<a href=""https://www.youtube.com/watch?v=9q7ns-RecAo&amp;t=438"">7:18</a> saya dari masa depan tapi belum jadi ikn 1 bulan lagi saya pernah ke ikn lihat simpang susun tolnya saya orang balikpapan saya senang ada ikn karna kalau mau ke ibu kota gampang dan ayah saya kerja di ikn maksudnya bukan bangunan tapi kerja di samboja kerja bibit udang",2024-06-28T02:29:27Z,0,0
@PeniAhmatAL-Insanni,Supaya orang jowo mudah usir pribumi Kalimantan.,2024-06-25T08:06:56Z,0,0
@PeniAhmatAL-Insanni,Biar orang jowo enak kuasai Kalimantan.<br>Biar kami orang pribumi kalimantan jadi gembel susah punya tanah kebun dll.,2024-06-25T08:03:02Z,0,0
@newbiegretonger8936,Kalian dari kota mana nih,2024-06-25T06:28:51Z,0,2
@HarrySubagio-qu7vn,Yang penting koruptor dimiskinkan dan di hukum mati titik,2024-06-22T00:16:32Z,0,0
@osiae9642,"Melanggar hukum tdk yaa, jika kami sholat hajat dgn meminta IKN mangkrak..???",2024-06-21T23:31:38Z,0,0
@pakodiri,"Namanya aja lucu dan gak pas, namain aja nama tempat kab atau prop, dan ini lahan baru u tuk para oknum elit nkri ngrampok uang negara.",2024-06-19T03:42:47Z,0,0
@MuhammadIbrahim-ps9mu,"Pembangunan Ibukota Nusantara di Kalimantan akan dibangun jauh berbeda dari DKI Jakarta di Jawa. Mungkin kalau IbuKota Nusantara menjadi ibukota baru Indonesia untuk pusat pemerintahan negara, sedangkan Jakarta menjadi kota terbesar baru Indonesia untuk industri ekonomi dan permukiman masyarakat.<br><br>Sama seperti Washington DC dan New York City di Amerika Serikat, IKN sebagai Washington DC nya Indonesia dan Jakarta sebagai New York City nya Indonesia. Ditambah lagi, markas besar TNI dan POLRI akan dipindahkan ke IKN, sama seperti Pentagon di Washington DC.",2024-06-06T03:56:49Z,1,1
@apongeh4620,Bangsa besar harus berani punya mimpi besar kedepan,2024-06-02T02:29:51Z,0,0
@Joannie-sp1uq,Dari komentar byk yg tidak rela.😂😂😂 Ini cuma masalah waktu saja..IKN itu sentral,2024-05-30T05:49:47Z,0,0
@rizaldoang9898,"Kalo sampai IKN jadi, saya bakalan bangga menjadi bangsa Indonesia 😊",2024-05-30T03:29:36Z,0,0
@Itsmefherdy,"Cuma di era kepresidenan pak jokowi yg berani bikin gebrakan besar, ibukota di pindahkan dan stop eksport nikel mentah, presiden sebelumnya ga pernah ada yg berani bikin gebrakan untuk membuat indonesia maju!",2024-05-30T02:26:12Z,0,0
@hendriyanto-kj2qs,Mengurangi pengangguran.........,2024-05-29T12:29:06Z,0,0
@GinLoweth,buat apa? ya buat dikorupsi dana pemindahan ibukotanya 🤡,2024-05-29T03:39:01Z,0,0
@Gerry-vk6mk,"Hadir 👋<br>Jumat, 24 mei 2024",2024-05-24T12:52:48Z,0,0
@varlintop2789,Nusantara tentram karta Raharja,2024-05-23T04:56:17Z,0,0
@varlintop2789,Nusantara tentram karta Raharja,2024-05-23T04:55:54Z,0,0
@yatiyati1154,Klo mnurutku siih..klimntan mmng hrs di bngun sbb sistem yg di pkai oleh pk Jokowi adlh sistem pmbngunan yg berkeadilan..ibukota sih ttep Jakarta..hnya sja gubernur anis bawedan kn udh mau pensiun. Atau di pulngkn ke Singapore..tmpat plarian nya..yg dri semarang dulu Jdi kita akn mndptkn gubernur bru yg gx pke rasa2 gula atau yg tgn nya yg g ada kait besi nya sperti .mr hook dlm the pirates of carribean..dan falsafah kita ttp pncasila yg berdasarkn sila pertma yaitu ketuhanan yg mha esa.,2024-05-20T07:29:31Z,0,0
@EpikBangets,Indonesia sudah ada 271.T dana rampasan dari suami sandra dewi. Tinggal separo lagi kan bisa buat dana pembangunan IKN,2024-05-19T14:43:16Z,2,0
@notbranding7866,"halo disini 2024, sejak maret lalu Jakarta udh bukan DKI lagi loh",2024-05-19T05:44:32Z,0,0
@AnjarSetiawan-v5b,Kalo ada kebakaran gimana😢,2024-05-19T03:04:35Z,0,0
@AnjarSetiawan-v5b,saya orang karawang yng agak deket sama jakarta gak bisa ke jakarta lagi😢😢😢,2024-05-19T03:02:48Z,0,0
@mokhtararifin1694,"dipindah jauhin banjir, demo.macet,polusi.",2024-05-16T05:37:44Z,0,0
@niruschanel4626,"Mindahin ibukota pada girang... <br>Kalo nemu minyak , nemu tambang emas baru girang...<br>Lu kira bangun ibukota cukup puluhan taon.. <br>Jakarta aja butuh ratusan taon untuk jadi seperti sekarang...",2024-05-12T13:39:26Z,0,0
@a.s3060,Buat anak abah tolong nih dengerin dahh,2024-05-11T12:05:16Z,0,0
@Batamm1140,Tuk Indonesia biar aman dari tenggelam Krn banjir dan dg adanya perubahan baru 👍👍👍👍🙏,2024-05-10T03:38:47Z,0,0
@agusmujiono7791,"Kab,cilacap 2jt jiwa,mendukung ikn,sejarah masa depan anak cucu,diakhir nanti,pasti warga cilacap antusias,menyambutnya,cilacap hadir.",2024-05-08T06:03:58Z,0,0
@dodysetiono8748,Apakah nanti FPI juga akan tetep demo di ikn..,2024-05-07T07:59:59Z,0,0
@Aditiya-t1n,Konsep nya masih sama,2024-05-03T11:53:49Z,0,0
@EkaRT9,"Makasiii banyak berkat channel ini saya jadi ada mindset baru yg lebih luas leluasa dan legowo ttg pembangunan ikn ini, terimakaih banyak juga untuk data2nya, semangaat mengedukasii teruss channel ngomongin uang❤❤❤",2024-05-02T15:26:47Z,0,0
@hermansyahherman2146,Buat yg miskin pemulung tukang ojek becak Orang gila pembuang sampah sembarangan dan lain lain Mohon maaf gk boleh ada di IKN kecuali ingin berkunjung Sebentar lihat lihat di perbolehkan wkwkwk. 😂😂😂,2024-04-30T13:25:45Z,2,0
@khrismaadhi3654,Seharusnya setiap kota besar di Indonesia dibikin ada ruang hijau seperti central park nya  new york...,2024-04-28T10:45:32Z,0,0
@khrismaadhi3654,"Dari dulu cuma wacana, baru sekarang bisa terealisasi, semoga javasentris segera berakhir..uda sumpek, lebih dari 60% penduduk Indonesia ada di jawa. Seolah2 Indonesia tu cuma jawa aja, pulau lain cuma pelengkap.",2024-04-28T10:41:34Z,0,0
@adityanugroho9205,271 T itu lebih dari cukup<br><br>22 T udh bisa bikin burj kalifah kaya di Dubai<br>Mungkin kalo di indo bisa lebih bagus lagi 😂😂,2024-04-24T08:10:21Z,3,0
@AlphaOmega-s7o,Pemindahan ibukota apa bener bener ide otentik jokowi atau titipan dari kekuatan politik dibelakang nya ya😂,2024-04-21T04:18:29Z,0,0
@tiosibuea7568,"Apa ia,kalo ada IKN , banjir di Jakarta ato kepadatan Jakarta bisa diatasi",2024-04-18T04:47:34Z,0,0
@cahkiye01,"Pantes banyak yg bilang Indonesia emas 2045,ternyata yang emas negaranya sdmnya bobrok. sampe sekarang aja liat komen selalu hubungan nya ke 01-03 muak gw muakkkk.......",2024-04-17T16:20:09Z,0,0
@chimmytata3227,"Ketinggalan jauh banget dengan negara lain, simbol kemajuan negara lain bisa dilihat karya sains dan teknologi di negara itu. Atau bagaimana negaranya mengatasi kemiskinan , banjir tahunan. Misalnya Amerika, Rusia, Jerman, Inggris, Arab saudi, Belanda, Israel, dll. Arab berusaha keras dengan sungguh2 mengatasi kemiskinan, Belanda buat tanggul raksasa penahan air laut masuk dan buat jalan yg bisa menyerap air hujan, Cina bisa menyusul buat Hp dan Mobil lewat BUMN-nya, Amerika dan Rusia dan India sudah buat kapal induk, pesawat tempur buat sendiri, sudah buat kapal laut sendiri, mereka berusaha kuat memanfaatkan pajak rakyat untuk kemakmuran dan kemandirian bangsa. Mereka buat alat perang yang diekspor ke negara2 lain, dan buat produk lain yang mendunia. Pemimpinnya peduli rakyat, visioner, peduli kemandirian bangsa. Kita yang kaya sumber daya alam, seperti hutan, kebun sawit, emas, tembaga, nikel berhutang ke negara kecil seperti Singapura sampai 900 triliun. Negara imut2 yg tidak punya SDA.",2024-04-02T21:55:53Z,0,0
@Skema-h2i,H3rbal.indonesai❤,2024-03-26T11:35:04Z,0,0
@SumariyahSorong-gx2dx,Mengantisipasi jkt tenggelam. Spy,2024-03-25T21:16:32Z,0,0
@rizalgabriel3801,"Ya elah boro-boro pemerintah nyiapin dana, <br>Dana dapat darimana segede itu, kalo bukan hasil hutang ke China ujung ujungnya pasti China akan ikut campur Nambah jumlah utang aja",2024-03-25T06:57:40Z,0,0
@oemarhusain2262,Utang uda sgunung pkek bangu bangun ibukota pikirin utang tu gk tmbah berkurang mlah menggunung pemerintah apa pemerintah si ini utang gk slesai mlah menggunung,2024-03-18T08:56:48Z,0,0
@SumBing-dr9bv,GK ada yg menarik di ikn . Mnding  jln2 dibsd,2024-03-17T11:37:29Z,0,0
@SamNusantara,Jangan bodoh.rayat masih membutuhkan lapangan kerja bukan istana baru.,2024-03-15T14:07:54Z,1,1
@Animelopers-up8ce,"Buat Kalian Yang Mau Tau Tentang Provinsi Indonesia, Silahkan Berkunjung Ke chanel &quot; Nekadmedia &quot; Karna Disana Membahas Semua Tentang Provinsi Tersebut",2024-03-12T21:30:33Z,0,0
@PriantoYanto-j8b,Keren penjelasan nya mbak👍,2024-03-12T13:45:55Z,0,0
@yafirahmad5206,1 doa aja<br>Moga gak dikorupsi dananya,2024-03-11T22:04:09Z,4,1
@RohanaBorhap,Jakarta kan banjir terus dan kalau air laut naik bisa tenggelam semuanya,2024-03-09T08:07:46Z,0,0
@Capone715,Tantangan baru .......... westeren,2024-03-08T21:47:10Z,1,1
@rosyachan3123,"Paru2 dunia Kalimantan, rasanya sedih melihat penggundulan disana. Semoga masyarakat sadar untuk melakukan reboisasi, cinta alam, dan cinta daerahnya masing2.",2024-03-08T06:29:08Z,1,0
@egataru,Yuks ekspansi bisnisnya ke sana 👌,2024-03-03T11:41:25Z,1,0
@jamaluddinar9570,"Nanti bisa kita lihat apakah bangsa kita pribumi masih bisa memiliki ibukota baru, sejarah akan menjawab.",2024-03-03T10:47:44Z,1,0
@sahrielnewbie9054,"Optimisme yang sangat tinggi.. jangan harap kota hijau kalau mobil listrik aja harganya selangit.. kalau mau menghilangkan Jawa sentris mah jalan terbaik Indonesia jadi serikat.. jadi 7 serikat, Sumatra, Jawa, Kalimantan, nusa tenggara, Sulawesi, Maluku, dan Papua",2024-03-03T10:41:20Z,0,0
@Austin_kunn,"MUSUH INDONESIA YANG SEBENERNYA DAN TERBESAR BUKAN ISRAEL,CHINA, ATAUPUN AMERIKA TAPI PARA POLITIKUS, PEJABAT DAN <b>&quot;RAKYAT&quot;</b> INDONESIA YANG TIDAK MENGERTI &quot;ALASAN,TUJUAN,DAN DAMPAK&quot; IKN<br>Itu saja🙏",2024-03-02T09:59:42Z,0,0
@Austin_kunn,Terima kasih min udah menyampaikan alasan dan tujuan ikn🙏,2024-03-02T09:57:15Z,0,0
@Austin_kunn,Udahlah min banyak pendukung paslon 01 yg gak ngerti ikn capek ngejelasin orang&quot; yg otaknya udah di propaganda dan informasi yang tidak jelas,2024-03-02T09:56:30Z,2,0
@lullaby2love232,Update 2024 : mau dibatalin sm salah 1 capres yg was edan,2024-03-01T07:40:43Z,1,0
@teresiateresia114,Mmg ibukota bisa pindah tp klo ibukota sudah sering banjir macet dan terlalu padat?byk kok negara yg ibukotanya pindah?,2024-02-29T14:29:02Z,0,0
@teresiateresia114,Ktnya mau pindah tp dr dulu gak pindah pindah?,2024-02-29T14:27:47Z,0,0
@AkmalKornate,Semoga orang asing yang berinvestasi menjajah Indonesia,2024-02-28T17:28:22Z,0,0
@muhammadanwar1024,"Wah kayaknya Pak H.Rhoma Irama bakalan ganti judul lagunya nih. Yang dulunya Jakarta Ibukota Indonesia...jd Penajam Paser Utara Ibukota Nusantara...,😅😅😅👍",2024-02-28T15:34:54Z,1,1
@ishakmasum1010,Saat ini IKN sudah masuk progress 70% di tahap pertama.. Maju terus IKN ❤,2024-02-28T09:08:56Z,0,0
@setepenaqilla8401,ini jadi kesempatan realisasi keadilan bagi seluruh rakyat indonesia.<br>bukan lagi seluruh takyat Jawa. 😌,2024-02-27T01:52:15Z,1,1
@koctthe4930,"Kenapa pendapat masyarakat Kaltim yang tinggal di sekitar ikn tidak disorot, apa dampak yg mereka dapatkan dengan pembukaan lahan yang begitu besar ? Bisa saja banjir mengancam",2024-02-27T00:44:11Z,0,2
@mirawidyanaa-gs8hy,Jd jkt nanti jd apa y?,2024-02-25T16:40:15Z,1,1
@ardialamri8863,Jakarta sudah sangat tidak layak lagi sebagai ibukota negara Republik Indonesia ... 😊,2024-02-21T07:19:40Z,0,2
@agusdemon659,Pertama sudah janji waktu kemerdekaan indonesia ibukota harus di tengah tengah negara indonesia,2024-02-21T05:57:33Z,0,0
@AhmadnurAhmadnur-y3d,Saya warga kalimantan mendukung perpindahan ibu kota negara indonesia ke kalimantan... Coal nya di kalimantan bnyak lahan tidur gak bnyak yg ngegarep supaya jdi sesuatu yg lebih bermamfaat....  Semoga tanah kalimantan hidup bnyak propesor dan para masyarakat yg bisa buat tanaman apa aja buat pangan nasional,2024-02-20T16:00:12Z,1,1
@initialdquotez2341,Knapa letak nys gak di lokasi yg udh di tetap kan ir soekarno,2024-02-20T09:32:51Z,0,0
@intanmaharini2231,Yg jelas penduduk dibatasi cuma 2 juta org.. Biar nggak padat seperti jakarta,2024-02-20T00:43:03Z,2,0
@myzecret,"Jawa sentris, hm...",2024-02-18T23:29:54Z,0,0
@firdhahanifah,Akwowkok sisi gelapnya ikn: tempat persembunyian para pejabat kabur,2024-02-18T10:21:19Z,0,2
@doris-xPas,Terimakasih untuk semua yang terlibat pembangunan ibu kota Nusantara Indonesia berdiri di era presiden ke 7 Bapak Ir H.Joko Widodo.,2024-02-17T11:10:38Z,0,0
@wondeokei,Nonton februari 2024 ✋🏻,2024-02-16T13:47:27Z,0,0
@amandaputri6738,Monas pindah jd nanas.,2024-02-16T10:20:19Z,0,0
@muhamadefendi1676,"Inget hutang ,, cina jadi negara maju bukan karena pembangunan tapi dari perekonomian",2024-02-16T01:26:40Z,0,1
@ZainuddinT,IKN MEMANG HARUS DITERUSKAN UNTUK MARTABAT INDONESIA DI MATA DUNIA,2024-02-15T08:09:31Z,1,0
@misdevirarizki5394,Udh siap2 utang indonesia tambah banyak ..yuk 15000 T,2024-02-15T06:05:23Z,0,1
@Mayni155,Kita bismillahin sama sama ya sltemwn temen semoga semua berjalan dengan lancar dan tepat sasaran,2024-02-14T04:21:08Z,0,0
@suryakelabu3533,org jawa bakal makin rame2 pindah ke kalimantan 😂,2024-02-13T07:59:22Z,3,2
@ahmadramdani212,Jgn hnya memikirkn ibukota baru di ikn liht resiko y apabilah ibukota jkrta bnr pindah ng smua  mslh langsung beres gitu ajh pkir kn ksajahtraan rakyt dn warga yng sdh mnetap bertahun² dijakrta aplagh mreka sudh pnya mta pencarian buat menghidupi kluarga yh 😢😢,2024-02-13T04:17:10Z,0,2
@ariefansharif5023,"Gak sesuai harapan karena tdk mempertimbangkan dampak warga sekitar, sekrng infestor pada urung, proyek ini djadikan oligarki lahan basah mencari cuan",2024-02-13T02:31:30Z,0,2
@RendiHermawan-fl9qd,"Kota kebanggaan indonesia, akan melindungi paru2 dunia dikalimantan, akan menjadi awal pemerataan penduduk dan ekonomi indonesia!!! 🎉🎉🎉",2024-02-12T11:01:25Z,1,3
